Square,LifeSquare,KitchenSquare,Ecology_1,Healthcare_1,Price,Rooms,Floor,HouseFloor,HouseYear,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Healthcare_1_null,DistrictSize
47.98155975341797,29.442750930786133,6.0,0.08903972,0.0,184966.94,2,7,9,1969,1,1,33,7976,5,0,11,1,1,22
65.68363952636719,40.04954147338867,8.0,6.99893e-05,240.0,300009.44,3,7,9,1978,1,1,46,10309,1,1,16,1,0,87
44.94795227050781,29.19761085510254,7.664446028338249,0.049637258,229.0,220925.9,2,8,12,1968,1,1,34,7759,0,1,3,1,0,174
61.731510162353516,52.731510162353516,9.0,0.43788525,1084.0,175616.23,2,8,17,1977,1,1,23,5735,3,0,5,1,0,179
39.649192810058594,23.776168823242188,7.0,0.012338886,2078.0,150226.53,1,11,12,1976,1,1,35,5776,1,2,4,1,0,97
80.38447570800781,46.683719635009766,12.0,0.30947912,990.0,215898.45,3,5,17,2011,1,1,35,7715,4,0,6,1,0,67
62.254112243652344,37.160377502441406,7.0,0.4605564,0.0,296021.22,2,3,5,1960,1,1,20,4386,14,1,5,1,1,10
80.31292724609375,53.977124774511786,10.072365647712694,0.07577875,0.0,221244.16,2,14,14,1977,1,1,6,1437,3,0,2,1,1,114
64.51143646240234,41.96853101977996,8.87231947999506,0.007122317,0.0,229102.8,2,9,17,1977,1,1,1,264,0,0,1,1,1,652
46.46141052246094,18.915552139282227,8.0,0.07577875,0.0,95380.22,1,13,17,2014,1,1,6,1437,3,0,2,1,1,565
46.30490493774414,27.922584533691406,6.0,0.11853738,1183.0,204243.55,2,8,9,1973,1,1,30,6207,1,1,0,1,0,79
68.8088607788086,45.73690414428711,7.0,0.0,0.0,165534.55,3,1,8,1959,1,1,23,3684,2,0,4,1,1,55
54.522804260253906,31.75975227355957,8.510629231744108,0.0907991,0.0,229220.38,2,8,12,1999,1,1,74,19083,2,5,15,1,1,97
68.10273742675781,39.311492919921875,8.0,0.13321534,1406.0,252481.9,3,6,12,1980,1,1,49,11395,3,3,4,0,0,107
58.27677721102976,52.40802764892578,5.868749562103979,0.072157584,0.0,140647.56,1,5,5,1977,1,1,2,629,1,0,0,0,1,851
73.61222839355469,53.89208984375,6.0,0.03717782,2300.0,89084.33,3,4,9,1979,1,1,52,11217,1,1,7,1,0,76
